trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
21,0,21,0,10,45.7851483,45.7851483,0.0186945,[-0.4064814814814815],[-0.07962962962962963],[1],[0],[0],[0.9964787999997498],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
22,0,22,0,5,46.798565,46.798565,0.015121,[-0.009259259259259259],[0.4],[1],[0],[0],[1.5657131999996636],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
23,0,23,0,10,48.3853807,48.3853807,0.0179516,[0.4361111111111111],[-0.05277777777777778],[1],[0],[0],[1.5465207999986887],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
24,0,24,0,5,49.9427101,49.9427101,0.0094567,[0.4861111111111111],[-0.004629629629629629],[1],[0],[0],[1.4556025000001682],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
25,0,25,0,5,51.4113029,51.4113029,0.0096323,[-0.010185185185185186],[0.17037037037037037],[1],[0],[0],[1.3716010999996797],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
26,0,26,0,10,52.8058934,52.8058934,0.0185341,[-0.30092592592592593],[0.43703703703703706],[1],[0],[0],[1.7943270000014309],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
27,0,27,0,10,54.6226079,54.6226079,0.018681,[-0.07592592592592592],[-0.262037037037037],[1],[0],[0],[1.4796031999994739],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
28,0,28,0,5,56.1142629,56.1142629,0.0110863,[-0.4777777777777778],[-0.12037037037037036],[1],[0],[0],[1.8520467999987886],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
29,0,29,0,10,57.9916883,57.9916883,0.0192524,[-0.26481481481481484],[-0.1787037037037037],[1],[0],[0],[1.4943523000001733],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
30,0,30,0,10,59.5560919,59.5560919,0.0664582,[0.13703703703703704],[-0.3314814814814815],[1],[0],[0],[1.530175899999449],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
31,0,31,0,10,61.1071806,61.1071806,0.0186453,[0.33611111111111114],[0.2574074074074074],[1],[0],[0],[1.3794261000002734],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
32,0,32,0,10,62.5080656,62.5080656,0.0184594,[0.44166666666666665],[0.3638888888888889],[1],[0],[0],[1.3292282999991585],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
33,0,33,0,5,63.8470666,63.8470666,0.0092892,[-0.33796296296296297],[-0.3111111111111111],[1],[0],[0],[1.7234475999994174],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
34,0,34,0,5,65.583983,65.583983,0.0102243,[0.06851851851851852],[0.09907407407407408],[1],[0],[0],[1.286270799999329],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
35,0,35,0,5,66.8830826,66.8830826,0.0091278,[-0.010185185185185186],[0.13333333333333333],[1],[0],[0],[1.755199100000027],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
36,0,36,0,5,68.6505299,68.6505299,0.0099134,[-0.16944444444444445],[-0.13333333333333333],[1],[0],[0],[1.3044296000007307],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
37,0,37,0,10,69.987261,69.987261,0.0236162,[-0.3351851851851852],[0.34629629629629627],[1],[0],[0],[1.488611699998728],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
38,0,38,0,10,71.4952691,71.4952691,0.0191701,[-0.09907407407407408],[-0.2564814814814815],[1],[0],[0],[1.3787393999991764],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
39,0,39,0,10,72.8951183,72.8951183,0.0183736,[0.1361111111111111],[0.2574074074074074],[1],[0],[0],[1.3293152999995073],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
40,0,40,0,5,74.2341562,74.2341562,0.009408,[0.46574074074074073],[0.009259259259259259],[1],[0],[0],[1.4056624000004376],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
41,0,41,0,10,75.663376,75.663376,0.0185999,[0.387037037037037],[0.1648148148148148],[1],[0],[0],[1.162276999999449],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
42,0,42,0,5,76.8354087,76.8354087,0.0093679,[0.25277777777777777],[0.018518518518518517],[1],[0],[0],[1.4731147000002238],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
43,0,43,0,5,78.3234322,78.3234322,0.0109418,[0.42962962962962964],[0.30185185185185187],[1],[0],[0],[1.3678826000013942],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
44,0,44,0,5,79.7045305,79.7045305,0.0097179,[0.037037037037037035],[-0.04537037037037037],[1],[0],[0],[1.3039029000010487],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
45,0,45,0,10,81.0319067,81.0319067,0.0183497,[-0.3675925925925926],[0.30648148148148147],[1],[0],[0],[1.595677399998749],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
46,0,46,0,10,82.648992,82.648992,0.0181807,[-0.18796296296296297],[0.16574074074074074],[1],[0],[0],[1.413875199999893],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
47,0,47,0,5,84.0720311,84.0720311,0.0095356,[0.42962962962962964],[-0.09259259259259259],[1],[0],[0],[1.7555720999989717],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
48,0,48,0,5,85.8397888,85.8397888,0.0098094,[-0.47129629629629627],[0.17962962962962964],[1],[0],[0],[1.304393099999288],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
49,0,49,0,5,87.1564517,87.1564517,0.0094423,[-0.1824074074074074],[-0.2722222222222222],[1],[0],[0],[1.3561065000012604],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
50,0,50,0,5,88.5254282,88.5254282,0.0100744,[-0.49722222222222223],[-0.1685185185185185],[1],[0],[0],[1.3201415999992605],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
51,0,51,0,10,89.8691862,89.8691862,0.0192149,[0.1425925925925926],[0.07962962962962963],[1],[0],[0],[1.5786563999990904],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
52,0,52,0,5,91.4583586,91.4583586,0.0095913,[-0.5074074074074074],[0.4203703703703704],[1],[0],[0],[2.0057554000013624],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
53,0,53,0,5,93.476985,93.476985,0.0100639,[0.49537037037037035],[-0.43333333333333335],[1],[0],[0],[2.004574099999445],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
54,0,54,0,5,95.4966063,95.4966063,0.0114766,[0.25555555555555554],[0.08425925925925926],[1],[0],[0],[1.501036000001477],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
55,0,55,0,10,97.0237257,97.0237257,0.0196846,[-0.42407407407407405],[0.1814814814814815],[1],[0],[0],[1.477406300000439],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
56,0,56,0,10,98.5212134,98.5212134,0.0185581,[0.18981481481481483],[-0.16203703703703703],[1],[0],[0],[1.496612400000231],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
57,0,57,0,10,100.0390989,100.0390989,0.0187651,[-0.12314814814814815],[-0.21944444444444444],[1],[0],[0],[2.046183200000087],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
58,0,58,0,10,102.1058732,102.1058732,0.018368,[0.4685185185185185],[0.20925925925925926],[1],[0],[0],[1.5296949999992648],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
59,0,59,0,5,103.6468507,103.6468507,0.0097792,[-0.17222222222222222],[0.2222222222222222],[1],[0],[0],[1.604888400001073],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
60,0,60,0,10,105.2753052,105.2753052,0.0185103,[0.3527777777777778],[-0.04722222222222222],[1],[0],[0],[1.4452791000003344],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
61,0,61,0,10,106.740727,106.740727,0.0179872,[-0.07962962962962963],[0.03981481481481482],[1],[0],[0],[1.3801168000009056],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
62,0,62,0,10,108.1420657,108.1420657,0.0186217,[0.43148148148148147],[-0.14629629629629629],[1],[0],[0],[1.6629472999993595],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
63,0,63,0,10,109.8266778,109.8266778,0.018612,[0.11388888888888889],[0.2962962962962963],[1],[0],[0],[1.3628120000012132],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
64,0,64,0,10,111.2159778,111.2159778,0.022178,[-0.4361111111111111],[-0.35462962962962963],[1],[0],[0],[1.9731795999996393],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
65,0,65,0,10,113.2096859,113.2096859,0.0183288,[0.26481481481481484],[0.06388888888888888],[1],[0],[0],[1.580689299998994],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
66,0,66,0,5,114.801691,114.801691,0.0100197,[-0.3888888888888889],[-0.43703703703703706],[1],[0],[0],[1.7035852999997587],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
67,0,67,0,10,116.5299685,116.5299685,0.0194677,[-0.38055555555555554],[0.48055555555555557],[1],[0],[0],[1.4275617000002967],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
68,0,68,0,5,117.9691676,117.9691676,0.0098892,[-0.05462962962962963],[-0.42314814814814816],[1],[0],[0],[1.5714619999998831],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
69,0,69,0,10,119.5639717,119.5639717,0.0183566,[0.3592592592592593],[-0.1111111111111111],[1],[0],[0],[1.5471460999997362],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
70,0,70,0,5,121.1259817,121.1259817,0.0132403,[-0.08425925925925926],[0.28055555555555556],[1],[0],[0],[1.4162233000006381],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
71,0,71,0,5,122.5601491,122.5601491,0.0121139,[-0.4222222222222222],[0.13148148148148148],[1],[0],[0],[1.148423399999956],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
72,0,72,0,10,123.7347029,123.7347029,0.019112,[0.31666666666666665],[-0.4398148148148148],[1],[0],[0],[3.4614579000008234],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
73,0,73,0,5,127.2052143,127.2052143,0.0094287,[0.20462962962962963],[0.2722222222222222],[1],[0],[0],[1.455880999999863],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
74,0,74,0,10,128.6839483,128.6839483,0.018363,[0.03611111111111111],[0.21481481481481482],[1],[0],[0],[1.178227500000503],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
75,0,75,0,5,129.8725953,129.8725953,0.0094205,[0.3527777777777778],[0.17592592592592593],[1],[0],[0],[1.2888315000000148],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
76,0,76,0,5,131.1749153,131.1749153,0.0096114,[-0.4648148148148148],[-0.44074074074074077],[1],[0],[0],[2.3211959000000206],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
77,0,77,0,10,133.5181739,133.5181739,0.018224,[0.11851851851851852],[0.28888888888888886],[1],[0],[0],[1.396328299999368],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
78,0,78,0,10,134.9408051,134.9408051,0.0216124,[0.4083333333333333],[0.16296296296296298],[1],[0],[0],[1.6916930000006687],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
79,0,79,0,5,136.6446611,136.6446611,0.0118158,[0.17685185185185184],[-0.4351851851851852],[1],[0],[0],[1.6354111000000557],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
80,0,80,0,5,138.2945865,138.2945865,0.010309,[0.4787037037037037],[0.29074074074074074],[1],[0],[0],[1.3031595000011293],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
81,0,81,0,10,139.6204068,139.6204068,0.0182038,[0.2111111111111111],[-0.03888888888888889],[1],[0],[0],[1.1292438000000402],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
82,0,82,0,5,140.7598418,140.7598418,0.0093641,[0.4888888888888889],[0.2574074074074074],[1],[0],[0],[1.0725511999989976],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
83,0,83,0,5,141.8522577,141.8522577,0.015436,[-0.42407407407407405],[0.4148148148148148],[1],[0],[0],[1.5991813000000548],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
84,0,84,0,5,143.4666408,143.4666408,0.011229,[0.001851851851851852],[-0.13148148148148148],[1],[0],[0],[1.4666258999986894],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
85,0,85,0,10,144.9648345,144.9648345,0.0238659,[-0.2777777777777778],[-0.4305555555555556],[1],[0],[0],[1.6877879999992729],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
86,0,86,0,10,146.6732518,146.6732518,0.0187236,[0.10092592592592593],[0.22592592592592592],[1],[0],[0],[1.2959162999995897],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
87,0,87,0,5,147.9853232,147.9853232,0.0138104,[-0.030555555555555555],[0.09259259259259259],[1],[0],[0],[1.2847259000009217],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
88,0,88,0,10,149.2910859,149.2910859,0.0181789,[0.13518518518518519],[0.26666666666666666],[1],[0],[0],[1.0790575999999419],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
89,0,89,0,5,150.3850441,150.3850441,0.0143229,[-0.16666666666666666],[0.31666666666666665],[1],[0],[0],[1.2000381000016205],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
90,0,90,0,5,151.6007929,151.6007929,0.0106407,[0.44166666666666665],[-0.46111111111111114],[1],[0],[0],[1.8363384999993286],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
91,0,91,0,5,153.4494732,153.4494732,0.0096129,[0.36203703703703705],[-0.12685185185185185],[1],[0],[0],[1.6542128000000957],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
92,0,92,0,10,155.1280711,155.1280711,0.0182851,[-0.1537037037037037],[-0.3851851851851852],[1],[0],[0],[1.4275706999997055],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
93,0,93,0,10,156.5779227,156.5779227,0.0182518,[-0.30925925925925923],[-0.2564814814814815],[1],[0],[0],[1.9307597000006353],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
94,0,94,0,10,158.5297121,158.5297121,0.0190018,[-0.2722222222222222],[0.38333333333333336],[1],[0],[0],[2.1773095999997167],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
95,0,95,0,10,160.7281052,160.7281052,0.0183401,[-0.34629629629629627],[0.04722222222222222],[1],[0],[0],[1.479392100000041],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
96,0,96,0,5,162.2187475,162.2187475,0.0099657,[-0.4064814814814815],[0.1259259259259259],[1],[0],[0],[0.9224610999990546],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
97,0,97,0,5,163.1549223,163.1549223,0.0102638,[0.24259259259259258],[0.40185185185185185],[1],[0],[0],[1.4185161999994307],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
98,0,98,0,5,164.5869548,164.5869548,0.0098305,[-0.125],[-0.2],[1],[0],[0],[1.504282300000341],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
99,0,99,0,10,166.1140465,166.1140465,0.0185007,[-0.062037037037037036],[0.10648148148148148],[1],[0],[0],[1.2454953000014939],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
100,0,100,0,5,167.3705455,167.3705455,0.0095435,[-0.04814814814814815],[0.15833333333333333],[1],[0],[0],[0.9718050999999832],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
101,0,101,0,5,168.3561286,168.3561286,0.0103066,[0.33425925925925926],[-0.03148148148148148],[1],[0],[0],[1.520249100000001],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
102,0,102,0,5,169.8889877,169.8889877,0.0096304,[0.30648148148148147],[0.18796296296296297],[1],[0],[0],[1.120224499998585],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
103,0,103,0,10,171.0325167,171.0325167,0.0183187,[0.3388888888888889],[-0.03148148148148148],[1],[0],[0],[1.3962179999998625],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
104,0,104,0,5,172.4396989,172.4396989,0.0098788,[-0.35833333333333334],[-0.4185185185185185],[1],[0],[0],[1.788007800001651],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
105,0,105,0,5,174.2426419,174.2426419,0.0124085,[0.2962962962962963],[-0.024074074074074074],[1],[0],[0],[1.718074099999285],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
106,0,106,0,5,175.9747071,175.9747071,0.0098032,[-0.36574074074074076],[0.030555555555555555],[1],[0],[0],[1.3715353999996296],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
107,0,107,0,5,177.3609214,177.3609214,0.0104579,[-0.3574074074074074],[0.11574074074074074],[1],[0],[0],[1.0015985000009096],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
108,0,108,0,10,178.3861229,178.3861229,0.0189795,[0.14351851851851852],[0.4222222222222222],[1],[0],[0],[1.3280589999994845],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
109,0,109,0,10,179.7434446,179.7434446,0.0238355,[-0.023148148148148147],[-0.23981481481481481],[1],[0],[0],[1.5243107999995118],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
110,0,110,0,10,181.2929455,181.2929455,0.0239824,[-0.14814814814814814],[0.1287037037037037],[1],[0],[0],[1.2405096000002231],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
111,0,111,0,10,182.5552914,182.5552914,0.0177748,[0.037037037037037035],[-0.37777777777777777],[1],[0],[0],[1.2136652000008326],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
112,0,112,0,10,183.7882106,183.7882106,0.019922,[0.4685185185185185],[0.21944444444444444],[1],[0],[0],[1.9616779000007227],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
