trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
140,0,140,0,5,226.2762254,226.2762254,0.009523,[-0.08981481481481482],[0.37222222222222223],[1],[0],[0],[1.104670000000624],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
141,0,141,0,5,227.3943643,227.3943643,0.0098601,[0.24074074074074073],[0.26296296296296295],[1],[0],[0],[1.3881837999997515],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
142,0,142,0,5,228.7949286,228.7949286,0.0096148,[-0.040740740740740744],[-0.07222222222222222],[1],[0],[0],[1.4875033999996958],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
143,0,143,0,10,230.3123018,230.3123018,0.0209488,[0.07407407407407407],[0.44074074074074077],[1],[0],[0],[1.5422214999998687],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
144,0,144,0,10,231.8740096,231.8740096,0.0205025,[0.014814814814814815],[0.05648148148148148],[1],[0],[0],[1.8940919999986363],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
145,0,145,0,10,233.7912119,233.7912119,0.0201914,[-0.26666666666666666],[0.20092592592592592],[1],[0],[0],[0.944638600001781],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
146,0,146,0,5,234.7454869,234.7454869,0.0092693,[0.2111111111111111],[0.4203703703703704],[1],[0],[0],[1.2891722999993362],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
147,0,147,0,5,236.0489204,236.0489204,0.0110061,[0.37222222222222223],[-0.3574074074074074],[1],[0],[0],[1.436388199999783],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
148,0,148,0,10,237.5120087,237.5120087,0.0185066,[0.12962962962962962],[0.39351851851851855],[1],[0],[0],[1.3759501000004093],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
149,0,149,0,10,238.9081081,238.9081081,0.0184548,[-0.3194444444444444],[-0.17222222222222222],[1],[0],[0],[1.7126673000002484],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
